Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text
24,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jun-23,Good,7,No fuss property. Staff was cooperative and ready to help.
25,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jun-23,Superb,9,"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good"
26,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-23,Very good,8,Cleanliness and cordial relation maintained by staff
27,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-23,Very good,8,Very nice hotel and good service
28,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-23,Good,7,really well located for sightseeing. Paharganj is also quite an experience in itself.
29,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Apr-23,Good,7,N/A
30,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Dec-21,Feeling at home in Delhi!,10,"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!"
31,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Good room for good price,9,"Personals are good and help you if needed.
Not a lot of noise in our room.
AC working."
32,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Good to stay there,7,Everything there was excellent.
33,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Very good,8,"Very friendly and helpful staff, good value for money"
34,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Recommendable!,9,The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.
35,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jun-23,Very good,8,Osm
36,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jul-23,Good,8,"Beds are confortable, price quality is good. Clean space, food was good. Big room."
37,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jul-23,"Great value, good overall experience",9,Helpful travel desk at reception!
38,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jun-23,"Well connected, close to the Railway station, and professional staff",8,"There is confusion regarding the location of the hotel when one searches on Google Maps. But, the actual location of the hotel is well connected to the road. So, please make sure to identify the right location before checking-in. :D"
39,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jul-23,Superb,9,Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!
40,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jan-22,wonderful,10,"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes."
41,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,We enjoyed the stay.,9,Excellent breakfast. Location is good.
42,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jun-23,Good,7, · Parking and room both are not good
43,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,"Overall a comfortable stay, which could have been better with good TV and cable",8,Breakfast was of a very high quality with a lot to choose from. Thoroughly enjo6
44,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jun-23,Superb,9,Comfort
45,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Superb,9,Good
46,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Superb,9,Please provide more Intercontinental Breakfast
47,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,My stay was very comfortable and enjoyable,8,We didn’t have breakfast
48,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Ok,7,Ok
49,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Very good,8,Nice hotel.
50,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Jan-23,Good value of money,10,The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.
51,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Clean hotel,9,Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..
52,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Wonderful hotel near airport,9,"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service.."
53,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Neat and clean property,9,"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing.."
54,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Hotel was one of the best,9,"The staff's exceptional training and friendly demeanor were evident. The hotel's cleanliness was remarkable. The food was excellent, and the quick room service was truly appreciated. The spacious clean room size made my stay comfortable and enjoyable.."
55,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Superb,9,#NAME?
56,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Good hotel and location If you are looking for a short stay near IGI,7,Closeness to the airport
57,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,We enjoyed our stay,9,We had a fabulous staying in airport grand hotel .. it was a nice experience the room was very good the hotel provided all the necessary facilities the staff was helping and warm the food was yummy overall it was a pleasure to stay here..
58,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Staff hospitality was great,9,The room and washroom were very clean. the linen was and clean without any spots. breakfast spread was tasty and well cooked.. The staff was extra helpful... hotel was excellent in service... i really liked the place. would love to stay again..
59,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Awesome service,9,"Very friendly staff, good location, super clean, awesome food, everything was spot on n' upto my expectations. will visit the same hotel soon and recommend to all.."
60,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Mar-22,10-Oct,10,Ankit - assistant manager was awesome. foodit shell at breakfast buffet
61,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Jul-23,Good,7,The music from the bar was very very very loud. I couldn't here the man that was booking me in at the arrival desk... so ridiculous... it's a hotel for usually tired travellers and to be greeted by this horrible noise felt like an assault. They eventually turned it down after many requests. Was by just me ... others waiting also hated the noise.
62,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,Superb,9,"Clean rooms, polite and hospitable staff"
63,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Jul-23,Luxurious stay in very convenient location.,9,It is a luxurious hotel in very convenient location for air travellers. The hotel room was very comfortable with all essential amenities. The buffet breakfast was sumptuous. Staff are friendly and helpful.
64,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,Excellent hôtel,9,Nice location
65,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,Good,7,"Location, swimming pool,"
66,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,It was okay not anything extraordinary. I liked Pride  plaza better than Novotel.,7,"The breakfast was very elaborate and excellent!!
The only thing I liked most at the hotel was it’s breakfast menu."
67,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,Value for money with smile 😊,8,"As mentioned in my previous review and the reasons I keep on returning to this property is best value for money compared to any other hotel in aero city,a cluster of hotels including international chain of hotels located 10-15 mins from New Delhi domestic and international terminal. Novotel in my opinion offers everything that other hotels do ,but at best best price as I have had stays in other hotels of aero city as well .
Also the staff is very polite,smiling and helpful.
Foods of different ethnicity are available especially the variety and taste of Indian food is great. The rooms are quite comfortable beds to sleep in . Transfer to airport is also offered on payment mostly unless may be part of booking package.
I plan a return to delhi in 2 days and will stay again with them."
68,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,Efficient and comfortable hotel close to Delhi airport,9,"Airport pickup service was flawless, and checkin quick and efficient.  The room was a decent size, and comfortable."
69,Novotel New Delhi Aerocity- International Airport,"South West, New Delhi",Aug-23,Good,7, · The wifi went out for a few hours in the evening. Not acceptable for a hotel of this caliber.
70,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jun-23,Exceptional,10,· it was clean room and staff was good
71,FabHotel Majestic JPM I,"South Delhi, New Delhi",Aug-23,Superb,9,View and cleanliness and good location
72,FabHotel Majestic JPM I,"South Delhi, New Delhi",Aug-23,Superb,9,the properly was clean and comfortable at good location
73,FabHotel Majestic JPM I,"South Delhi, New Delhi",Aug-23,Superb,9,The staff was very friendly
74,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jul-23,Superb,9,The property is perfectly located at a secluded place
75,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jun-23,Superb,9,breakfast was good and tasty very good
76,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jun-23,Superb,9,"Nice location, staffs are good in behaviour ."
77,FabHotel Majestic JPM I,"South Delhi, New Delhi",Apr-23,I could have expected better.,7, · The music played till 12.30pm during the second night .....
78,FabHotel Majestic JPM I,"South Delhi, New Delhi",Apr-23,Very good,8,Everything
79,FabHotel Majestic JPM I,"South Delhi, New Delhi",Apr-23,Very good,8,Food quality good
80,Airport Hotel Clayton,"South West, New Delhi",Mar-23,Exceptional,10,"Friendly staff,cleanliness,ambience, strict adherence to covid appropriate behavior."
81,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Superb,9,Nice
82,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Very good,8,Nice
83,Airport Hotel Clayton,"South West, New Delhi",May-23,All is well,8,Supporting staff
84,Airport Hotel Clayton,"South West, New Delhi",Apr-23,"Stay was comfortable, we get better sleep, but AC could not work after 2:00AM, felt very bad",7,Near ti Air port
85,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Superb,9,Excellent staff and management
86,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Superb,9,Staff were friendly
87,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Superb,9,Staff were friendly and wanted to help as much as they could.
88,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Superb,9,Very good customer service 👍
89,Airport Hotel Clayton,"South West, New Delhi",Apr-23,Superb,9,Very good customer service 👍
90,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,good hotel,10,good hotel in paharganj new delhi close to NDLS railway station.
91,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,Very good,8,Good natured manager and staffs
92,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,It was a awesome stay . Definitely worth it for money,9,I like the response of the hotel staff . Very kind and quick and helpful .
93,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,Pleasant,9,"Near to New Delhi station. Nice, friendly and flexible staff. Value for money."
94,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,Very good,8,"AC, welcoming, payment, kindness, location"
95,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Unsatisfied and very disappointed.,1,Nothing.
96,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Disappointing,4,Location was center of city
97,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,Exceptional,10,The staff was good and also was in a prime location. The Wi-Fi was good too.
98,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Exceptional,10,Great service and helpful staff
99,Trimrooms Shipra @ New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Exceptional,10,Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel
100,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Jun-23,Helpful empathetic staff.,10,"This booking was made on behalf of my daughter after she found herself without passport or any credit cards or debit cards and little cash. A long story. 
I made the booking from the uk and after a few emails and speaking to the extremely helpful duty manager.    
We were able to find a solution to my daughters predicament and get her checked in. 
As a parent I cannot express my gratitude to the staff at the holiday inn. 
Her stay has been comfortable. 
My mind is at peace knowing that she is safe and in good hands. 
Thank you so much"
101,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Aug-23,Good but a bit pricy,8,"The hotel was very clean, the room was nice, they let us have the room earlier than check-in time."
102,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Aug-23,"The hotel was good, but staff should provide help when required.",7," · The ac in room was not setting properly, l requested someone from help desk to have a look but no one came to fix."
103,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Jul-23,Close to airport.,7,Close to airport.
104,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Aug-23,I will not recommend any one to stay there,9,Security guard has misbehaved with us he is thinking that he is the owner of that hotel very poor condition
105,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Jun-23,Value for money with perfect location for international travelers.,8,Location is just perfect for travelers to catch international flights.
106,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Aug-23,I think this was my second time and I think you have improved a lot my next visit would be hol,9,Excellent
107,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Jul-23,averag stay and a little pricy.,9,Overall experience ok
108,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Aug-23,it was a good stay. helping staff,8,the location
109,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",Jul-23,Very good,8,"distance to taj, value for money, clean and would defintiely stay here again."
110,Hotel Amar International,"Paharganj, New Delhi",Oct-21,Exceptional,10,"Staff is very cooperative, room are very clean. Overall very good stay."
111,Hotel Amar International,"Paharganj, New Delhi",Aug-23,Pleasant,6,"experience was good,"
112,Hotel Amar International,"Paharganj, New Delhi",May-23,Pleasant,6,Best hotel in budget
113,Hotel Amar International,"Paharganj, New Delhi",Jun-23,Forth visit to hotel really comfortable stay bathroom was neat and clean staff coperative,7,Staff and particularly the reception staff was polite and good. My late check in was done comfortable by night staff.
114,Hotel Amar International,"Paharganj, New Delhi",May-23,I was really happy to stay there I actullay extended the stay as I like the calmness and behaviour.,8,"Center location for rest of destinations 
Very calm place AC rooms full WIFi faciality 
Me. Promod the manager  was very helpful"
115,Hotel Amar International,"Paharganj, New Delhi",Mar-23,It was very good,8,Room
116,Hotel Amar International,"Paharganj, New Delhi",Mar-23,Good,7,Staff behaviour.
117,Hotel Amar International,"Paharganj, New Delhi",Feb-23,Very good,8,"Easily accessible
Smooth check in process
Hotel staff was very courteous"
118,Hotel Amar International,"Paharganj, New Delhi",Jan-23,Good,7,All over all good
119,Hotel Amar International,"Paharganj, New Delhi",Dec-22,An affordable hotel in Delhi,6,The staff was really kind and let us to put our bags in the hotel after checking out and the location of the placecwas very good and close to railway station and attractions.
120,Hotel Hill Palace,"Karol bagh, New Delhi",Aug-23,3rd class hotel,1,Leaving the hotel
121,Hotel Hill Palace,"Karol bagh, New Delhi",Jul-23,Good,7,The staff are good
122,Hotel Hill Palace,"Karol bagh, New Delhi",Aug-23,Pleasant,6, no comments available for this review
123,Hotel Hill Palace,"Karol bagh, New Delhi",Aug-23,Passable,5, no comments available for this review
124,Hotel Hill Palace,"Karol bagh, New Delhi",Aug-23,Very good,8, no comments available for this review
125,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jun-23,Exceptional,10,Excellent value in a great location.
126,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jul-23,Good to explore Connaught Place area,7,Location. Very near the Connaught Place.
127,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Aug-23,Good,7,The location is very good. It’s just a few minutes from Connaught Place which is the centre. The wifi is good and the people are friendly.
128,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Aug-23,"It's fine, only night was disturbed.",7,"Location was excellent, room also quite ok."
129,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jun-23,Reasonable experience for the price,7,"staff was good.
Location is very close to the VFS"
130,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jul-23,Good,7,The staff was friendly and the room was nice
131,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jul-23,A good tranquil place to stay,7,I was out early
132,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jul-23,Good stay!,7,The room was huge and neatly kept. The washroom could have been a bit better.
133,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jul-23,Decent place to stay for a short visit.,8,Location of Hotel is excellent and walking distance to the MRT
134,Itsy By Treebo - Connaught Mews,"Connaught Place, New Delhi",Jun-23,Value for money in the centre of town,8,"Location, quality of room."
135,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Mar-23,Exceptional,10,Comfortably located near Green Park Market
136,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jul-23,"Confortable, Perfect Location, Excellent Staff",9,"Excellent Service, great location, good food."
137,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Aug-23,Superb,9,Nice and clean property to stay..
138,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Aug-23,Good not best breakfast is ok but staffs are courteous,7,Although room is small but neat and clean
139,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jul-23,"As I stayed one night, It's fine.",7,"It fairly ok. As I stayed for one night, I did not really care what they are providing."
140,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jul-23,Superb,9,The stay was very comfortable. Staff members are very nice
141,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jun-23,Superb,9,Very good location and near to everything good and healthy breakfast option. Very good food choice nearby
142,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jun-23,Superb,9,Comfortable Clean property..
143,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jun-23,Superb,9,nice location near green park metro
144,FabHotel Exotica Greenpark,"South Delhi, New Delhi",Jun-23,Very good,8,Room neet and Clean and nice location
145,HOTEL GRAND VIKASH,"South West, New Delhi",Aug-23,Bad,1, · I regret taking the stay over there and please do confirm all the information the hotel provides before adding it to the list of hotels to show I had to pay more and was in a situation where I couldn't even switch to another hotel for stay I really want to get refund.
146,HOTEL GRAND VIKASH,"South West, New Delhi",Aug-23,Bad,1, · It was a disaster. How can such a poor hotel even be listed in booking platforms
147,HOTEL GRAND VIKASH,"South West, New Delhi",Aug-23,Very poor,2, no comments available for this review
148,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Good location value for money,9,Location was good. Staffs were good.
149,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,It's really a memorable stay and fantastic experience,9,"The cleanliness and Staff behavior during check in and out, and they upgrade my room to Superior Deluxe room to Family suites as complimentary which is really wonderful."
150,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Staff was incredibly helpful,10,The room was comfortable and staff was so kind!!
151,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Excellent,9,Everything was good. Clean towels and bed sheets. Ac is good.
152,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Excellent,9,"The managers and staff friendly 
The Room is perfect 
The food is great 
Location is good"
153,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Value for money. Clineliness.,8,"Friendly and helpful staff , Room size was good and clean room Hotel and bathroom, Nice Hotel for family"
154,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Location of the property! Right @Embassy area,9,Good place to stay incase you want to for visa purpose  staff is very helpful and always ready to accommodate your reque
155,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Everything is good in hotel especially the food of the hotel,10,Everything is good in hotel especially the food of the hotel is soo tasty and i loved there fried rice (tosted wok rice) with prawn is soo good  😋. If somebody go in the hotel must try fried rice with prawn.
156,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Loved this place ! Love the staff! Been coming for years and always stay here!,9,Great Wi-Fi  staff friendly and helpful
157,HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,"Paharganj, New Delhi",Aug-23,Very good,9,Everything ....great value for money
158,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Feb-23,Exceptional,10,staff is very friendly and attentive
159,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Aug-23,Very nice kind staff,9,Clean and good quality
160,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Aug-23,Superb,9,"Excellent Location, Friendly staff, Efficient Check in and Check out process, good food"
161,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Jul-23,Superb,9,I had a simple breakfast
162,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Jul-23,Hotel is fine.,7,Nearby airport
163,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Mar-23,NEED ACCESSS FOR EARLY CHECK INN,8,ITS GOOD
164,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Jun-23,very comfortable and friendly place,9,location and friendly staff
165,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",Jun-23,Not the best nights sleep.,7,"The room was clean, and the bed was very comfortable. As we had a day between flights and  planned to stay at the hotel all day and catch up on a few things, the bar area was comfortable with power sockets for charging devices. A good choice of food for both breakfast and dinner. There is a buffet at 7 pm, but we chose from the menu. The price was reasonable for that level of hotel and was able to provide airport drop-off service. It served its purpose."
166,"Four Points by Sheraton New Delhi, Airport Highway","South West, New Delhi",May-23,Exceptional hotel near Delhi airport,9,"Very nice hotel set in comfortable grounds where one can walk outdoors. Hotel room was clean and comfortable. Staff were amazing! Duty manager Urmila was exceptionally - she made us feel as though we were visiting friends rather than staying in a hotel :) She was friendly, courteous and professional - as were all the staff we interacted with. Food in the in-house restaurant was also good. Would definitely stay here again."
