class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,13.82,f,h,o,f,e,w,16.86,17.14,w,t,p,d,u
p,17.23,x,h,e,f,e,w,18.51,18.59,w,t,g,d,u
p,12.57,x,g,o,f,e,w,16.62,15.7,w,t,p,d,a
p,14.85,x,h,o,f,e,w,17.36,16.46,w,t,g,d,a
p,12.55,x,g,e,f,e,w,16.97,17.39,w,t,g,d,u
p,13.53,x,g,e,f,e,w,16.65,16.91,w,t,g,d,a
p,16.84,x,h,e,f,e,w,17.3,17.27,w,t,p,d,w
p,15.73,x,h,o,f,e,w,17.58,17.59,w,t,p,d,u
p,11.46,x,h,o,f,e,w,17.56,18.39,w,t,g,d,w
p,15.06,f,g,o,f,e,w,15.77,16.1,w,t,p,d,w
p,16.15,x,h,e,f,e,w,18.25,17.67,w,t,p,d,a
p,13.78,f,h,o,f,e,w,17.18,17.6,w,t,g,d,w
p,16.77,f,h,e,f,e,w,18.81,19.23,w,t,g,d,u
p,17.32,f,g,o,f,e,w,17.67,17.83,w,t,g,d,u
p,18.65,x,h,e,f,e,w,18.6,19.03,w,t,p,d,u
p,14.11,f,h,e,f,e,w,16.87,16.23,w,t,g,d,u
p,16.25,f,g,o,f,e,w,17.32,17.6,w,t,p,d,u
p,13.59,x,g,o,f,e,w,18.58,18.87,w,t,p,d,w
p,17.3,f,g,o,f,e,w,17.39,18.35,w,t,g,d,u
p,12.13,f,g,e,f,e,w,16.66,16.62,w,t,p,d,a
p,12.29,x,h,e,f,e,w,16.45,15.65,w,t,p,d,a
p,14.74,x,h,o,f,e,w,16.8,17.46,w,t,p,d,w
p,15.13,f,h,e,f,e,w,17.81,17.24,w,t,p,d,u
p,13.66,f,g,o,f,e,w,16.21,16.65,w,t,g,d,u
p,13.3,x,g,e,f,e,w,17.75,17.19,w,t,p,d,w
p,14.16,f,g,o,f,e,w,15.26,16.19,w,t,g,d,w
p,16.66,x,h,o,f,e,w,18.73,18.47,w,t,p,d,a
p,15.55,f,g,e,f,e,w,17.03,17.84,w,t,p,d,a
p,14.28,f,g,e,f,e,w,17.55,17.58,w,t,p,d,a
p,16.92,x,g,e,f,e,w,18.3,18.81,w,t,g,d,w
p,15.55,x,h,e,f,e,w,16.75,16.97,w,t,p,d,w
p,15.08,x,h,o,f,e,w,17.51,16.82,w,t,p,d,u
p,12.02,f,g,o,f,e,w,16.16,16.61,w,t,p,d,a
p,13.69,f,g,e,f,e,w,16.58,15.84,w,t,p,d,u
p,15.36,f,g,o,f,e,w,17.53,15.97,w,t,p,d,a
p,15.22,f,g,o,f,e,w,16.87,17.46,w,t,p,d,u
p,15.49,f,h,e,f,e,w,17.45,16.64,w,t,p,d,a
p,12.16,x,h,e,f,e,w,17.46,17.51,w,t,g,d,u
p,16.04,f,h,o,f,e,w,17.39,17.19,w,t,p,d,u
p,16.31,f,h,e,f,e,w,17.15,17.05,w,t,g,d,u
p,15.35,f,g,o,f,e,w,17.89,18.21,w,t,g,d,u
p,11.17,x,h,o,f,e,w,16.44,16.12,w,t,g,d,a
p,13.74,x,g,e,f,e,w,16.7,15.79,w,t,g,d,u
p,14.62,f,h,e,f,e,w,16.07,17.02,w,t,p,d,a
p,13.14,f,h,o,f,e,w,16.99,18.05,w,t,p,d,w
p,15.53,x,g,o,f,e,w,18.06,17.37,w,t,p,d,w
p,17.08,x,h,o,f,e,w,17.79,18.79,w,t,g,d,a
p,17.09,x,g,o,f,e,w,19.19,18.89,w,t,p,d,u
p,15.31,x,g,o,f,e,w,16.19,17.04,w,t,p,d,w
p,16.11,f,h,e,f,e,w,17.91,17.88,w,t,p,d,u
p,14.96,x,g,o,f,e,w,17.92,17.51,w,t,g,d,a
p,16.12,x,g,e,f,e,w,17.98,16.93,w,t,p,d,u
p,14.19,f,g,o,f,e,w,17.83,18.3,w,t,p,d,w
p,15.67,x,g,o,f,e,w,19.25,19.52,w,t,p,d,w
p,11.35,x,h,e,f,e,w,16.96,15.39,w,t,p,d,a
p,14.52,x,g,o,f,e,w,17.04,17.57,w,t,p,d,u
p,14.41,f,h,o,f,e,w,17.1,16.96,w,t,g,d,a
p,16.3,f,h,e,f,e,w,18.25,16.66,w,t,p,d,w
p,13.36,x,g,o,f,e,w,17.26,17.08,w,t,p,d,u
p,14.29,x,h,o,f,e,w,17.87,18.0,w,t,g,d,u
p,12.29,x,g,o,f,e,w,16.84,16.26,w,t,p,d,u
p,13.66,f,h,o,f,e,w,17.73,17.29,w,t,g,d,w
p,14.51,f,h,e,f,e,w,16.7,15.98,w,t,p,d,u
p,14.55,f,h,e,f,e,w,16.94,17.9,w,t,p,d,w
p,14.97,f,g,e,f,e,w,18.45,17.51,w,t,g,d,u
p,13.06,x,h,o,f,e,w,15.72,16.19,w,t,g,d,w
p,12.85,x,g,o,f,e,w,17.35,16.64,w,t,g,d,u
p,14.0,f,h,e,f,e,w,16.57,16.04,w,t,p,d,w
p,13.93,f,h,e,f,e,w,16.65,16.86,w,t,p,d,w
p,17.91,f,g,o,f,e,w,17.63,18.15,w,t,p,d,w
p,14.43,f,g,e,f,e,w,17.41,18.24,w,t,g,d,u
p,13.43,f,g,e,f,e,w,16.13,16.25,w,t,p,d,w
p,13.04,f,h,o,f,e,w,17.99,17.49,w,t,g,d,a
p,17.1,x,g,e,f,e,w,18.96,18.94,w,t,g,d,w
p,15.07,f,h,e,f,e,w,18.33,18.88,w,t,g,d,w
p,15.03,f,h,e,f,e,w,18.81,18.36,w,t,p,d,w
p,16.37,f,h,e,f,e,w,17.96,18.69,w,t,p,d,a
p,11.02,f,g,o,f,e,w,15.98,16.02,w,t,g,d,u
p,17.61,f,g,e,f,e,w,18.35,17.91,w,t,g,d,u
p,17.54,f,h,o,f,e,w,18.2,17.76,w,t,g,d,w
p,16.77,x,h,o,f,e,w,18.02,19.96,w,t,p,d,a
p,16.21,f,h,o,f,e,w,17.29,17.29,w,t,p,d,a
p,14.94,x,g,e,f,e,w,17.5,18.26,w,t,g,d,a
p,14.74,f,h,o,f,e,w,18.42,18.5,w,t,g,d,w
p,15.97,x,h,o,f,e,w,16.42,16.89,w,t,g,d,u
p,13.56,x,g,e,f,e,w,17.3,17.96,w,t,g,d,u
p,15.13,x,h,e,f,e,w,18.75,18.33,w,t,p,d,u
p,15.42,f,g,o,f,e,w,18.34,18.24,w,t,g,d,u
p,13.49,x,g,o,f,e,w,17.6,17.44,w,t,g,d,a
p,15.71,f,h,e,f,e,w,17.91,18.23,w,t,p,d,a
p,14.96,f,g,e,f,e,w,17.96,17.37,w,t,p,d,u
p,15.34,f,h,o,f,e,w,17.74,18.62,w,t,p,d,w
p,12.26,x,g,o,f,e,w,18.14,17.58,w,t,p,d,a
p,13.46,f,g,o,f,e,w,16.92,15.3,w,t,p,d,w
p,16.59,f,g,o,f,e,w,18.93,18.51,w,t,p,d,u
p,14.98,x,g,e,f,e,w,17.35,17.7,w,t,p,d,a
p,13.7,f,h,e,f,e,w,17.04,17.74,w,t,g,d,u
p,14.92,x,g,e,f,e,w,18.07,17.02,w,t,g,d,u
p,12.0,f,g,e,f,e,w,15.9,16.23,w,t,g,d,u
p,14.75,f,h,e,f,e,w,16.76,17.24,w,t,g,d,w
p,16.6,f,g,e,f,e,w,18.46,18.38,w,t,p,d,w
p,11.77,x,g,o,f,e,w,16.96,15.57,w,t,g,d,u
p,16.37,f,h,o,f,e,w,18.21,18.8,w,t,g,d,w
p,13.89,f,g,e,f,e,w,17.83,17.66,w,t,g,d,w
p,11.71,f,h,e,f,e,w,16.47,16.1,w,t,g,d,a
p,15.5,f,h,o,f,e,w,17.92,18.09,w,t,p,d,u
p,15.93,x,h,e,f,e,w,16.86,16.9,w,t,p,d,u
p,17.73,f,h,e,f,e,w,19.19,18.16,w,t,p,d,a
p,17.23,f,h,e,f,e,w,17.45,17.79,w,t,g,d,a
p,16.76,f,g,o,f,e,w,18.81,18.35,w,t,g,d,u
p,14.14,x,g,o,f,e,w,16.89,17.97,w,t,p,d,w
p,12.86,x,g,o,f,e,w,16.4,16.98,w,t,g,d,a
p,16.79,f,g,o,f,e,w,18.81,18.09,w,t,g,d,a
p,14.18,f,h,e,f,e,w,17.87,18.2,w,t,p,d,a
p,13.56,x,h,e,f,e,w,17.14,16.74,w,t,g,d,w
p,14.32,x,g,e,f,e,w,16.45,15.77,w,t,g,d,a
p,13.64,x,h,e,f,e,w,16.74,16.93,w,t,p,d,w
p,13.49,x,h,o,f,e,w,16.73,17.51,w,t,p,d,w
p,14.7,x,g,e,f,e,w,16.84,16.67,w,t,p,d,a
p,13.33,f,h,o,f,e,w,19.25,18.76,w,t,p,d,w
p,12.87,f,h,e,f,e,w,16.52,17.5,w,t,g,d,w
p,14.36,x,h,e,f,e,w,17.87,17.87,w,t,p,d,u
p,14.39,f,g,e,f,e,w,17.55,17.24,w,t,g,d,w
p,14.17,x,h,e,f,e,w,17.47,17.07,w,t,g,d,w
p,16.4,f,g,o,f,e,w,17.92,17.83,w,t,g,d,u
p,12.31,f,g,e,f,e,w,17.02,16.01,w,t,p,d,w
p,14.77,x,h,e,f,e,w,16.61,17.06,w,t,g,d,w
p,15.02,f,h,e,f,e,w,16.89,17.26,w,t,p,d,u
p,13.9,x,h,o,f,e,w,18.1,17.7,w,t,g,d,u
p,17.13,x,h,e,f,e,w,16.46,16.83,w,t,g,d,u
p,13.68,f,g,o,f,e,w,18.22,17.47,w,t,g,d,a
p,15.0,x,g,e,f,e,w,18.12,17.13,w,t,g,d,w
p,13.5,x,h,e,f,e,w,15.51,15.17,w,t,p,d,a
p,13.94,x,h,e,f,e,w,17.65,17.49,w,t,p,d,u
p,14.62,f,g,e,f,e,w,17.41,17.65,w,t,g,d,u
p,13.76,f,g,o,f,e,w,17.89,17.87,w,t,p,d,w
p,16.71,x,h,e,f,e,w,17.87,17.29,w,t,g,d,u
p,15.5,x,g,e,f,e,w,17.83,18.79,w,t,g,d,u
p,14.77,x,h,e,f,e,w,16.72,16.51,w,t,p,d,a
p,18.14,x,g,o,f,e,w,18.49,19.13,w,t,p,d,u
p,15.78,x,h,o,f,e,w,18.71,18.83,w,t,g,d,w
p,17.25,x,g,o,f,e,w,17.71,18.05,w,t,p,d,a
p,16.58,f,h,o,f,e,w,18.74,18.32,w,t,g,d,w
p,13.06,x,g,e,f,e,w,18.18,19.12,w,t,p,d,u
p,15.48,x,g,o,f,e,w,16.79,16.48,w,t,g,d,w
p,16.1,f,g,o,f,e,w,17.66,17.28,w,t,g,d,w
p,15.57,x,g,e,f,e,w,18.51,18.18,w,t,p,d,w
p,15.02,x,g,o,f,e,w,16.27,16.81,w,t,g,d,a
p,14.13,x,h,e,f,e,w,17.28,16.55,w,t,g,d,a
p,16.03,f,g,o,f,e,w,18.22,18.37,w,t,p,d,w
p,13.82,x,h,o,f,e,w,15.69,15.73,w,t,p,d,a
p,15.89,x,g,o,f,e,w,17.82,18.03,w,t,g,d,u
p,15.0,f,g,o,f,e,w,18.14,18.2,w,t,p,d,u
p,17.22,f,h,e,f,e,w,18.26,18.23,w,t,p,d,w
p,16.76,x,h,o,f,e,w,16.78,16.07,w,t,p,d,w
p,16.97,x,g,o,f,e,w,17.37,16.59,w,t,g,d,w
p,17.87,f,h,e,f,e,w,19.03,18.39,w,t,g,d,u
p,12.96,f,h,e,f,e,w,16.0,16.6,w,t,p,d,a
p,15.59,x,h,o,f,e,w,18.76,18.58,w,t,g,d,w
p,14.37,x,g,e,f,e,w,18.04,17.27,w,t,g,d,w
p,14.8,x,g,e,f,e,w,18.13,17.66,w,t,g,d,w
p,13.42,f,g,o,f,e,w,17.86,17.84,w,t,g,d,w
p,13.44,f,g,e,f,e,w,16.74,16.54,w,t,p,d,u
p,15.64,x,g,o,f,e,w,18.05,17.33,w,t,p,d,w
p,15.16,x,g,o,f,e,w,17.94,17.35,w,t,g,d,a
p,14.24,f,h,o,f,e,w,16.7,17.07,w,t,p,d,a
p,13.27,x,g,e,f,e,w,17.5,17.83,w,t,p,d,w
p,14.33,x,g,o,f,e,w,17.27,17.45,w,t,g,d,a
p,18.59,x,g,o,f,e,w,18.3,18.82,w,t,p,d,u
p,16.92,x,g,e,f,e,w,18.35,18.14,w,t,g,d,a
p,14.63,f,h,o,f,e,w,16.62,15.93,w,t,p,d,w
p,14.71,f,g,e,f,e,w,18.65,17.98,w,t,g,d,w
p,14.84,x,g,e,f,e,w,18.23,18.18,w,t,g,d,u
p,14.1,f,g,o,f,e,w,16.49,17.92,w,t,g,d,u
p,11.69,f,g,e,f,e,w,17.18,17.11,w,t,p,d,a
p,13.63,f,g,e,f,e,w,17.04,16.96,w,t,p,d,u
p,15.29,f,g,e,f,e,w,17.75,16.37,w,t,g,d,w
p,15.57,x,g,e,f,e,w,18.24,18.41,w,t,p,d,a
p,17.58,x,h,o,f,e,w,16.86,17.49,w,t,g,d,u
p,15.4,f,g,e,f,e,w,16.93,17.25,w,t,g,d,w
p,13.64,f,h,e,f,e,w,16.64,17.59,w,t,p,d,u
p,17.25,x,h,e,f,e,w,17.8,17.3,w,t,g,d,u
p,17.84,f,h,o,f,e,w,18.83,18.54,w,t,g,d,w
p,15.48,x,h,e,f,e,w,17.41,17.4,w,t,p,d,w
p,14.57,f,g,o,f,e,w,18.08,18.49,w,t,g,d,u
p,14.45,x,g,e,f,e,w,17.63,17.66,w,t,g,d,a
p,15.79,f,h,e,f,e,w,18.85,18.13,w,t,p,d,w
p,17.38,x,g,o,f,e,w,19.27,18.81,w,t,g,d,a
p,14.91,f,g,o,f,e,w,18.38,16.07,w,t,p,d,w
p,16.98,f,g,o,f,e,w,17.16,16.65,w,t,p,d,w
p,13.73,f,h,o,f,e,w,16.38,16.97,w,t,p,d,w
p,14.99,f,h,o,f,e,w,17.19,16.21,w,t,g,d,a
p,15.01,x,g,o,f,e,w,18.01,17.33,w,t,g,d,a
p,15.84,x,h,o,f,e,w,18.54,18.47,w,t,g,d,u
p,16.62,x,g,o,f,e,w,18.54,18.01,w,t,p,d,a
p,11.29,f,g,o,f,e,w,16.6,16.69,w,t,g,d,a
p,13.95,f,h,o,f,e,w,17.08,15.9,w,t,g,d,u
p,14.27,x,h,e,f,e,w,17.35,16.87,w,t,p,d,u
p,17.38,f,h,o,f,e,w,17.53,18.3,w,t,g,d,u
p,13.05,x,g,o,f,e,w,17.87,17.76,w,t,g,d,a
p,14.45,f,h,e,f,e,w,17.43,17.44,w,t,p,d,u
p,15.88,f,h,o,f,e,w,17.73,19.16,w,t,p,d,a
p,15.28,f,g,o,f,e,w,17.97,17.87,w,t,g,d,w
p,14.68,x,h,o,f,e,w,16.19,16.4,w,t,g,d,a
p,14.39,f,g,e,f,e,w,16.99,16.08,w,t,p,d,u
p,16.16,f,g,o,f,e,w,17.93,17.41,w,t,g,d,a
p,15.47,f,h,e,f,e,w,17.56,18.38,w,t,p,d,u
p,14.05,x,g,o,f,e,w,16.85,17.07,w,t,p,d,w
p,15.02,f,h,o,f,e,w,16.62,16.6,w,t,g,d,u
p,17.17,x,g,o,f,e,w,18.52,18.04,w,t,p,d,u
p,15.01,f,h,o,f,e,w,17.62,17.39,w,t,p,d,a
p,16.22,x,g,o,f,e,w,18.56,18.15,w,t,p,d,u
p,14.94,f,h,e,f,e,w,16.6,16.85,w,t,g,d,u
p,13.22,f,g,o,f,e,w,17.72,16.43,w,t,p,d,w
p,13.66,x,h,o,f,e,w,16.81,16.98,w,t,g,d,u
p,18.31,f,h,o,f,e,w,19.29,18.94,w,t,p,d,u
p,11.68,f,g,o,f,e,w,17.31,16.62,w,t,g,d,a
p,13.45,f,g,o,f,e,w,15.84,16.16,w,t,g,d,w
p,14.42,x,h,e,f,e,w,17.03,16.57,w,t,g,d,w
p,15.6,f,g,e,f,e,w,18.06,18.83,w,t,p,d,u
p,10.58,x,h,o,f,e,w,16.33,15.53,w,t,g,d,w
p,17.58,x,h,e,f,e,w,19.35,19.66,w,t,g,d,w
p,15.6,x,h,o,f,e,w,17.83,16.89,w,t,p,d,w
p,16.68,x,h,e,f,e,w,17.19,17.11,w,t,p,d,a
p,15.66,f,h,o,f,e,w,18.24,18.33,w,t,p,d,a
p,12.18,f,h,o,f,e,w,16.56,16.18,w,t,p,d,a
p,15.71,f,g,e,f,e,w,18.02,17.98,w,t,g,d,a
p,14.73,x,h,e,f,e,w,16.95,17.14,w,t,g,d,w
p,12.42,f,h,e,f,e,w,18.01,17.71,w,t,p,d,u
p,18.68,x,h,o,f,e,w,18.63,19.09,w,t,p,d,u
p,16.82,f,h,o,f,e,w,17.78,18.03,w,t,g,d,a
p,15.35,f,h,e,f,e,w,17.27,17.54,w,t,p,d,w
p,14.34,f,h,o,f,e,w,16.02,15.99,w,t,p,d,w
p,13.99,x,g,e,f,e,w,15.42,15.85,w,t,g,d,u
p,16.46,f,g,o,f,e,w,17.29,16.9,w,t,p,d,a
p,15.72,f,g,e,f,e,w,17.88,16.98,w,t,p,d,u
p,15.73,x,h,o,f,e,w,18.6,17.93,w,t,g,d,a
p,14.81,x,h,e,f,e,w,18.52,18.29,w,t,p,d,w
p,16.51,x,g,e,f,e,w,17.86,17.96,w,t,g,d,a
p,14.05,x,g,e,f,e,w,17.88,17.45,w,t,p,d,a
p,13.23,f,g,e,f,e,w,16.41,16.39,w,t,p,d,u
p,13.68,x,h,e,f,e,w,18.15,18.21,w,t,g,d,a
p,15.42,f,h,e,f,e,w,18.08,17.78,w,t,p,d,w
p,15.37,f,h,o,f,e,w,17.01,17.29,w,t,g,d,u
p,17.31,x,g,e,f,e,w,16.94,18.47,w,t,p,d,a
p,14.84,f,h,o,f,e,w,16.79,18.0,w,t,g,d,w
p,13.95,f,g,o,f,e,w,17.11,16.94,w,t,g,d,w
p,13.43,f,g,e,f,e,w,16.88,17.61,w,t,g,d,u
p,16.39,x,g,e,f,e,w,18.94,18.58,w,t,g,d,u
p,11.7,x,h,o,f,e,w,16.01,16.33,w,t,g,d,u
p,12.6,x,g,o,f,e,w,17.81,15.5,w,t,p,d,w
p,16.16,f,g,o,f,e,w,16.73,16.79,w,t,p,d,u
p,12.67,x,g,o,f,e,w,15.68,15.29,w,t,g,d,a
p,15.52,x,g,o,f,e,w,16.95,17.44,w,t,g,d,u
p,15.26,x,g,o,f,e,w,18.99,18.03,w,t,p,d,w
p,16.2,x,g,e,f,e,w,17.39,17.53,w,t,p,d,u
p,16.82,f,h,e,f,e,w,17.81,16.9,w,t,p,d,a
p,15.27,f,h,e,f,e,w,17.17,16.97,w,t,p,d,u
p,12.1,f,g,o,f,e,w,16.25,17.06,w,t,g,d,w
p,14.28,x,g,e,f,e,w,17.77,17.12,w,t,p,d,u
p,15.03,f,g,o,f,e,w,16.71,16.74,w,t,g,d,a
p,18.1,x,g,e,f,e,w,18.35,18.7,w,t,g,d,w
p,16.69,f,g,o,f,e,w,17.0,17.45,w,t,p,d,w
p,11.3,x,h,o,f,e,w,15.69,16.34,w,t,g,d,u
p,14.66,f,g,e,f,e,w,16.73,15.27,w,t,g,d,a
p,13.99,f,h,e,f,e,w,16.71,16.23,w,t,p,d,u
p,13.62,f,h,e,f,e,w,17.6,17.3,w,t,g,d,a
p,14.49,f,g,e,f,e,w,16.77,17.22,w,t,g,d,w
p,14.16,x,g,e,f,e,w,16.44,17.34,w,t,g,d,w
p,18.89,x,g,o,f,e,w,18.23,17.94,w,t,p,d,a
p,13.03,x,h,o,f,e,w,16.72,16.85,w,t,p,d,u
p,12.8,x,g,e,f,e,w,16.48,16.24,w,t,g,d,u
p,13.7,x,g,e,f,e,w,17.84,17.91,w,t,g,d,u
p,14.42,x,h,o,f,e,w,18.2,18.06,w,t,g,d,u
p,14.45,x,g,o,f,e,w,17.44,17.25,w,t,g,d,u
p,16.11,f,g,e,f,e,w,17.95,18.61,w,t,p,d,a
p,15.61,x,g,e,f,e,w,17.62,17.79,w,t,g,d,w
p,14.93,x,h,o,f,e,w,17.71,18.23,w,t,g,d,w
p,15.58,f,g,e,f,e,w,18.14,17.96,w,t,g,d,u
p,15.98,x,h,e,f,e,w,18.08,18.66,w,t,p,d,a
p,15.62,f,h,o,f,e,w,18.48,17.75,w,t,p,d,u
p,16.79,x,g,e,f,e,w,17.98,16.76,w,t,g,d,a
p,13.6,f,h,o,f,e,w,16.32,16.09,w,t,g,d,u
p,15.3,f,h,e,f,e,w,19.02,18.84,w,t,g,d,w
p,16.08,f,g,o,f,e,w,17.33,18.09,w,t,g,d,a
p,13.43,x,h,e,f,e,w,17.1,17.25,w,t,p,d,w
p,16.24,x,h,o,f,e,w,17.45,17.78,w,t,p,d,a
p,16.78,f,h,o,f,e,w,17.81,17.92,w,t,g,d,u
p,16.26,f,h,o,f,e,w,17.31,17.3,w,t,g,d,a
p,12.59,x,h,e,f,e,w,15.47,15.77,w,t,p,d,w
p,16.68,x,h,e,f,e,w,19.01,17.55,w,t,p,d,a
p,14.89,f,h,o,f,e,w,18.57,17.73,w,t,g,d,a
p,14.72,x,g,o,f,e,w,17.66,18.03,w,t,g,d,w
p,13.59,x,h,o,f,e,w,17.57,18.17,w,t,g,d,w
p,16.07,x,g,o,f,e,w,17.23,17.76,w,t,p,d,u
p,6.87,x,g,n,f,e,w,6.88,13.64,w,t,p,d,a
p,8.59,p,g,n,f,e,w,9.15,17.34,w,t,p,d,a
p,5.95,p,g,n,f,e,w,7.54,12.73,w,t,p,d,u
p,6.51,x,g,n,f,e,w,6.8,12.92,w,t,p,d,a
p,7.66,x,g,n,f,e,w,8.55,14.98,w,t,p,d,a
p,6.4,x,g,n,f,e,w,7.68,14.68,w,t,p,d,u
p,7.06,p,g,n,f,e,w,7.26,12.03,w,t,p,d,u
p,6.32,x,g,n,f,e,w,7.66,15.84,w,t,p,d,a
p,8.8,x,g,n,f,e,w,8.44,16.56,w,t,p,d,u
p,7.5,p,g,n,f,e,w,6.37,11.75,w,t,p,d,u
p,6.44,p,g,n,f,e,w,7.61,13.59,w,t,p,d,u
p,6.64,p,g,n,f,e,w,7.14,12.48,w,t,p,d,a
p,6.93,x,g,n,f,e,w,7.99,14.23,w,t,p,d,u
p,8.23,x,g,n,f,e,w,8.2,15.67,w,t,p,d,a
p,7.37,x,g,n,f,e,w,7.8,13.6,w,t,p,d,a
p,8.49,p,g,n,f,e,w,8.35,15.7,w,t,p,d,u
p,7.05,x,g,n,f,e,w,8.63,16.79,w,t,p,d,a
p,5.92,x,g,n,f,e,w,7.47,12.44,w,t,p,d,u
p,8.91,x,g,n,f,e,w,9.11,16.66,w,t,p,d,u
p,8.71,x,g,n,f,e,w,8.8,16.46,w,t,p,d,u
p,8.79,x,g,n,f,e,w,8.71,16.44,w,t,p,d,u
p,7.09,p,g,n,f,e,w,7.97,11.93,w,t,p,d,a
p,8.08,x,g,n,f,e,w,8.22,16.67,w,t,p,d,u
p,7.63,x,g,n,f,e,w,7.97,13.44,w,t,p,d,u
p,6.39,x,g,n,f,e,w,8.03,13.86,w,t,p,d,u
p,6.86,x,g,n,f,e,w,8.04,16.3,w,t,p,d,u
p,8.85,p,g,n,f,e,w,8.58,15.18,w,t,p,d,a
p,7.73,p,g,n,f,e,w,9.09,16.3,w,t,p,d,a
p,5.84,x,g,n,f,e,w,8.14,14.47,w,t,p,d,u
p,6.5,p,g,n,f,e,w,8.46,16.14,w,t,p,d,a
p,6.58,x,g,n,f,e,w,7.82,14.05,w,t,p,d,u
