Age,Profession,Marrital Status,Education,No of Dependents,Personal loan,House Loan,Wife Working,Salary,Wife Salary,Total Salary,Make,Price
36,Business,Married,Graduate,0,No,No,Yes,1300000,700000,2000000,City,1200000
36,Salaried,Married,Post Graduate,2,No,No,Yes,2300000,1300000,3600000,Creata,1500000
36,Business,Married,Post Graduate,2,Yes,Yes,No,1900000,0,1900000,i20,800000
36,Business,Married,Graduate,3,No,Yes,Yes,1800000,1100000,2900000,SUV,1600000
44,Salaried,Married,Post Graduate,3,No,No,No,3100000,0,3100000,Creata,1500000
45,Salaried,Married,Post Graduate,2,No,Yes,Yes,2700000,1800000,4500000,SUV,1600000
46,Salaried,Married,Graduate,3,Yes,Yes,No,2100000,0,2100000,Baleno,800000
44,Business,Married,Graduate,2,No,No,Yes,3100000,2100000,5200000,SUV,1600000
43,Salaried,Married,Post Graduate,3,Yes,Yes,No,2400000,0,2400000,Ciaz,1100000
42,Salaried,Married,Post Graduate,2,No,Yes,No,2900000,0,2900000,Duster,1300000
42,Salaried,Married,Graduate,3,Yes,Yes,No,2700000,0,2700000,i20,800000
42,Business,Married,Post Graduate,3,Yes,Yes,No,1800000,0,1800000,Baleno,700000
29,Business,Single,Graduate,0,Yes,No,No,1100000,0,1100000,Baleno,700000
33,Salaried,Married,Post Graduate,2,No,No,Yes,1400000,800000,2200000,City,1200000
34,Salaried,Married,Graduate,2,No,Yes,Yes,2700000,1400000,4100000,Creata,1500000
34,Business,Married,Post Graduate,3,Yes,Yes,No,1900000,0,1900000,Baleno,700000
35,Salaried,Married,Graduate,2,No,No,No,1400000,0,1400000,i20,800000
36,Salaried,Married,Post Graduate,3,Yes,Yes,Yes,3100000,1800000,4900000,SUV,1600000
37,Salaried,Married,Graduate,2,No,Yes,No,2800000,0,2800000,City,1200000
27,Salaried,Single,Post Graduate,0,No,No,No,900000,0,900000,Baleno,700000
27,Business,Single,Graduate,0,No,No,No,2400000,0,2400000,SUV,1600000
50,Salaried,Married,Post Graduate,3,No,No,Yes,3800000,1300000,5100000,SUV,1600000
51,Business,Married,Graduate,2,Yes,Yes,No,2200000,0,2200000,Ciaz,1100000
51,Salaried,Married,Post Graduate,2,No,No,Yes,2700000,1300000,4000000,Creata,1500000
51,Salaried,Married,Post Graduate,2,Yes,Yes,No,2200000,0,2200000,Ciaz,1100000
