trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
7 Years,Lukas Graham,4485906,danish pop,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,audio_features,237300,4
772 Love,YNW Melly,209488,melodic rap,0.676,0.623,6,-7.297,0,0.0352,0.226,1.66E-05,0.159,0.347,111.466,audio_features,209489,4
7UP,Boy In Space,4569846,alt z,0.618,0.47,0,-7.379,1,0.0271,0.0169,0,0.111,0.228,135.034,audio_features,203555,4
8 Letters,Why Don't We,1549337,boy band,0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979,audio_features,190027,4
85%,Loote,463954,alt z,0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,audio_features,174107,4
9 to 5,Young Ejecta,60424,solipsynthm,0.659,0.834,8,-5.715,1,0.0387,0.232,0.55,0.236,0.607,116.048,audio_features,219258,4
90210 (feat. G-Eazy),blackbear,223286,pop,0.707,0.707,11,-6.161,0,0.0375,0.0306,0,0.127,0.231,104.039,audio_features,223296,4
90mh,Albanos Xwris Xartia,76195,,,,,,,,,,,,,,0,
90mh,Trefuego,5128208,,,,,,,,,,,,,,0,
911,Ellise,3234388,alt z,0.765,0.53,10,-7.18,0,0.0833,0.509,4.15E-06,0.117,0.529,130.104,audio_features,188387,4
:( (sad face),Bahari,1700511,alt z,0.661,0.552,8,-8.015,0,0.0278,0.242,0,0.0953,0.408,110.072,audio_features,188182,4
@ my worst,blackbear,5728917,pop,0.615,0.774,4,-5.152,0,0.0551,0.0173,0,0.15,0.336,136.887,audio_features,191364,4
A Better Place,Project AER,119999,ambient guitar,0.496,0.255,9,-17.984,1,0.0283,0.937,0.845,0.0909,0.0809,141.961,audio_features,120000,4
A Dangerous Thing,AURORA,1945555,art pop,0.541,0.556,11,-6.15,0,0.0356,0.465,0,0.116,0.106,105.886,audio_features,215573,4
A Different Way (with Lauv),DJ Snake,66060,edm,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18E-06,0.142,0.587,104.996,audio_features,198286,4
A Drug From God,Chris Lake,192455,bass house,0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016,audio_features,192455,4
A Gift Of A Thistle,James Horner,97568,orchestral soundtrack,0.0828,0.012,9,-36.045,0,0.0451,0.9,0.812,0.0875,0.0578,169.895,audio_features,97667,3
A Little Bit Yours,JP Saxe,99339,alt z,0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,audio_features,225680,4
A Little Braver,New Empire,2787373,,0.497,0.425,2,-8.317,1,0.0325,0.771,1.11E-05,0.109,0.234,148.074,audio_features,206854,4
A Little Longer,Sammieforreal,27783728,,0.405,0.273,4,-18.285,0,0.0515,0.306,0.448,0.217,0.187,79.91,audio_features,261346,4
A Little Messed Up,june,1935875,,0.773,0.528,4,-7.876,0,0.0551,0.694,0.0001,0.478,0.363,96.06,audio_features,168000,4
A Little More,Catie Turner,6158627,alt z,0.792,0.484,4,-9.897,1,0.192,0.477,0,0.106,0.245,96.939,audio_features,224528,4
A Little Piece of Heaven,Avenged Sevenfold,40539,alternative metal,0.486,0.881,2,-5.623,0,0.0474,0.0244,0,0.429,0.667,144.997,audio_features,480707,4
A Million Dreams,Ziv Zaifman,269453,show tunes,0.265,0.312,7,-11.689,1,0.0569,0.243,0,0.0893,0.0998,54.747,audio_features,269453,3
A Million Dreams (Reprise),Austyn Johnson,60453,show tunes,0.253,0.139,6,-17.067,1,0.0414,0.726,5.01E-05,0.269,0.102,74.369,audio_features,60453,3
A Moment Apart,ODESZA,300828,chillwave,0.515,0.663,7,-7.896,0,0.0328,0.179,0.668,0.494,0.0756,120.024,audio_features,234244,4
A New Beginning,Yasumu,143378,lo-fi study,0.695,0.287,0,-14.608,1,0.0499,0.771,0.904,0.362,0.379,128.028,audio_features,143379,4
A Night to Remember,High School Musical Cast,1514502,post-teen pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62E-06,0.0522,0.966,135.008,audio_features,236400,4
A Night to Remember - Original Version,High School Musical Cast,832507,post-teen pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62E-06,0.0522,0.966,135.008,audio_features,236400,4
A Place Among the Stars,Hans Zimmer,1670916,german soundtrack,0.171,0.0325,4,-25.382,0,0.043,0.97,0.87,0.0756,0.0284,70.821,audio_features,207118,3
A Sky Full of Stars,Taron Egerton,372839,hollywood,0.44,0.676,6,-7.57,1,0.0582,0.152,0.0201,0.108,0.429,125.013,audio_features,206438,4
A Soulmate Who Wasn’t Meant to Be,Jess Benko,9160154,gen z singer-songwriter,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43E-06,0.322,0.087,124.209,audio_features,316556,3
A wild river to take you home,Black Hill,229535,instrumental post-rock,0.458,0.361,6,-12.066,0,0.0353,0.825,0.913,0.103,0.231,86.966,audio_features,229536,4
A+E (feat. Kandaka Moore & Nikki Cislyn),Clean Bandit,246584,pop,0.808,0.519,5,-8.268,0,0.0403,0.00623,0.136,0.119,0.384,114.977,audio_features,246584,4
A-Punk,Vampire Weekend,1804847,baroque pop,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,audio_features,137760,4
A.S.A.G.,Ori Rose,6391884,,0.739,0.625,8,-6.013,1,0.0382,0.0879,0,0.251,0.641,122.976,audio_features,187317,4
AFTERLIFE,CYREX,88485,,0.692,0.735,1,-8.691,1,0.0348,0.314,0.959,0.117,0.415,110.007,audio_features,196673,4
AGEN WIDA,JOYRYDE,198997,bass house,0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,audio_features,199048,4
ALIEN SUPERSTAR,Beyoncé,233,pop,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59E-05,0.171,0.464,121.892,audio_features,215460,4
ALIENSPEAK (feat. Curtis Waters),Brevin Kim,22606,,,,,,,,,,,,,,0,
ALL MINE,Brent Faiyaz,104821,r&b,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16E-05,0.11,0.22,141.967,audio_features,216063,4
ALLERGIC,clide,155200,singer-songwriter pop,0.609,0.428,11,-7.796,1,0.0244,0.538,0,0.064,0.627,96.071,audio_features,155200,4
AMAZING,Rex Orange County,6890534,bedroom pop,0.719,0.461,8,-8.191,1,0.0454,0.279,0,0.0875,0.548,123.915,audio_features,209200,4
AMNESIA,Hikki Gaya,468115,,0.605,0.887,1,-2.298,1,0.0448,0.000974,0.919,0.352,0.0759,99.998,audio_features,131253,4
AMNESIA (feat. Boy In Space),DREAMDNVR,3734865,dark r&b,0.708,0.42,9,-9.478,0,0.121,0.471,0,0.353,0.317,145.981,audio_features,175827,4
ANGOSTURA,keshi,171018,chill r&b,0.536,0.659,6,-9.732,1,0.0483,0.406,0.004,0.107,0.199,170.035,audio_features,171020,4
ANKLES,Jessie Reyez,187423,canadian contemporary r&b,0.514,0.749,8,-4.336,1,0.403,0.234,7.98E-05,0.19,0.416,179.623,audio_features,169240,3
ANUBIS,KUTE,262699,aggressive phonk,0.627,0.993,1,-1.304,1,0.0714,0.00142,0.254,0.239,0.58,109.975,audio_features,131455,4
AVOID ME,KUTE,800336,aggressive phonk,0.656,0.964,6,-2.087,0,0.0964,0.123,0.813,0.78,0.965,114.007,audio_features,105789,4
AVOID ME 3,KUTE,40239,aggressive phonk,0.706,0.933,10,-0.096,1,0.0721,0.11,0.878,0.058,0.761,114.042,audio_features,120000,4
Aaftaab,The Local Train,2540803,hindi indie,0.464,0.391,6,-9.884,1,0.0384,0.755,9.64E-05,0.105,0.418,106.887,audio_features,233472,4
Aag Lage Chahe Basti Mai,Sirazee,27373,himachali pop,0.613,0.551,9,-8.613,1,0.198,0.113,0,0.266,0.482,110.243,audio_features,142410,5
Aahe Neelasaila,Bhikhari Bala,57728,odia bhajan,0.328,0.571,1,-6.913,1,0.0395,0.654,1.15E-05,0.27,0.654,186.602,audio_features,313748,1
"Aahun Aahun (From ""Love Aaj Kal"")",Master Saleem,436164,,,,,,,,,,,,,,0,
Aaj Bhi,Vishal Mishra,1793602,desi pop,0.581,0.304,1,-9.707,0,0.0274,0.886,2.79E-05,0.103,0.0973,109.006,audio_features,241206,4
Aaj Bhi (Lofi Flip),It's DPK,39562,,,,,,,,,,,,,,0,
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,76002,desi pop,0.307,0.265,1,-14.701,0,0.0497,0.561,0.000517,0.398,0.0569,94.115,audio_features,217976,1
Aaja We Mahiya,Imran Khan,2400332,desi hip hop,0.639,0.594,10,-6.497,1,0.0347,0.131,0,0.119,0.378,80.034,audio_features,232067,4
Aajkal Tere Mere Pyar Ke Charche,Suman Kalyanpur,205800,classic bollywood,0.556,0.792,9,-10.683,1,0.0715,0.858,0.007,0.596,0.776,98.554,audio_features,309493,4
"Aankh Marey (From ""Simmba"")",Neha Kakkar,212741,,,,,,,,,,,,,,0,
Aankhein Khuli,Jatin-Lalit,173287,afghan pop,0.792,0.635,7,-13.94,0,0.0863,0.349,5.92E-06,0.324,0.648,122.004,audio_features,422713,4
Aap Ki Kashish,Himesh Reshammiya,333653,filmi,0.69,0.78,8,-7.412,0,0.0489,0.117,0,0.0696,0.718,110.963,audio_features,333653,4
Aaron's Aria,Music Circle,535692,,,,,,,,,,,,,,0,
Aasan Nahin Yahan,Arijit Singh,58231,filmi,0.549,0.437,10,-7.169,0,0.0263,0.766,0.000407,0.133,0.236,93.976,audio_features,214470,4
Aashayein,KK,210952,filmi,0.561,0.709,9,-10.247,1,0.0484,0.232,0,0.0992,0.509,115.006,audio_features,260142,4
Aashayein - Slow Version,KK,85681,filmi,0.417,0.134,9,-12.096,1,0.0321,0.979,9.61E-05,0.101,0.381,83.176,audio_features,72292,4
Aashiqui 2 Mashup,Arijit Singh,2166765,filmi,0.616,0.757,8,-5.877,0,0.0337,0.393,0.00267,0.165,0.538,96.976,audio_features,302658,4
Aasman Ke,KK,173573,filmi,0.558,0.746,7,-6.338,0,0.0389,0.0852,0.000302,0.258,0.342,120.096,audio_features,257280,4
Ab Mujhe Raat Din,Sonu Nigam,10264,filmi,0.68,0.524,5,-12.536,1,0.0306,0.161,0.0015,0.101,0.577,100.054,audio_features,385253,4
Abhi Abhi,KK,342664,filmi,0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,audio_features,342669,4
Abhi Mujh Mein Kahin,Ajay-Atul,745640,filmi,0.334,0.387,2,-9.483,1,0.0332,0.755,3.94E-05,0.113,0.42,129.959,audio_features,364787,1
Abhi Na Jao Chhod Kar,Asha Bhosle,255026,chutney,0.569,0.31,3,-13.287,1,0.0371,0.79,0,0.341,0.587,97.244,audio_features,258387,3
Abki Dussehra Me Mana Tu Baat,Uttam Singh,198270,,,,,,,,,,,,,,0,
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,790321,metropopolis,0.636,0.758,0,-5.567,1,0.0427,0.331,1.01E-05,0.16,0.281,97.025,audio_features,214107,4
Actually I'm Good,Foreign Forest,252203,emo rap,0.727,0.486,8,-8.364,1,0.0325,0.568,0,0.0889,0.362,118.038,audio_features,252203,4
Addict,Lund,369832,cloud rap,0.577,0.553,4,-7.648,0,0.0479,0.1,0,0.21,0.0546,145.974,audio_features,174247,4
Adiyogi (The Source of Yoga),Kailash Kher,18983,filmi,0.611,0.512,11,-12.533,0,0.0361,0.3,0.000851,0.219,0.263,99.987,audio_features,393220,1
Admiral Benbow,Michiel Schrey,112503,shanty,0.516,0.482,7,-6.04,1,0.0421,0.579,0,0.307,0.368,170.178,audio_features,113973,4
Admit,Player1,1067034,,0.574,0.647,9,-6.497,0,0.0618,0.428,0,0.124,0.294,145.033,audio_features,189103,4
Adrenaline,Lauv,80290,pop,0.651,0.688,6,-4.407,1,0.109,0.354,2.57E-06,0.0741,0.616,95.017,audio_features,206368,4
Adrift,Kurt Stewart,124173,lo-fi study,0.587,0.0548,6,-22.15,0,0.0345,0.616,0.827,0.0999,0.233,109.905,audio_features,124174,4
Adult,Sasha Alex Sloan,367079,alt z,0.607,0.849,8,-6.389,1,0.0444,0.174,2.03E-05,0.0964,0.487,89.988,audio_features,184253,4
Ae Watan (Male),Arijit Singh,20796,,,,,,,,,,,,,,0,
Affection,Fiji Blue,174949,chill pop,0.827,0.49,10,-8.37,0,0.055,0.321,0.000137,0.095,0.836,113.002,audio_features,174211,4
Afghan Jalebi (Film Version),Pritam,225637,filmi,0.84,0.884,0,-3.217,1,0.334,0.427,0,0.0885,0.972,118.007,audio_features,224207,4
Afraid,The Neighbourhood,764280,modern alternative rock,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,audio_features,251187,4
Afraid of Time,Hans Zimmer,1311152,german soundtrack,0.245,0.00336,9,-38.793,0,0.0451,0.92,0.0234,0.119,0.0505,119.949,audio_features,152673,3
Africa,TOTO,2318675,album rock,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,audio_features,295893,4
After All,Elton John,1954901,glam rock,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,audio_features,208715,4
After Midnight,Slushii,178438,brostep,0.418,0.965,10,-2.417,0,0.163,0.0477,3.88E-06,0.561,0.28,139.759,audio_features,178519,4
After Rain,Aimer,292600,anime,0.653,0.783,10,-3.859,1,0.0298,0.00949,0,0.0791,0.636,119.992,audio_features,292760,4
After the Love Has Gone,"Earth, Wind & Fire",278002,disco,0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,audio_features,278040,4
Afterglow,Ed Sheeran,34603,pop,0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,audio_features,185487,4
Afterglow,Leroy Sanchez,372000,channel pop,0.659,0.273,11,-6.352,1,0.0285,0.823,0,0.121,0.292,110.171,audio_features,186000,4
Afterlife,Ewan J Phillips,227777,british singer-songwriter,0.342,0.279,1,-11.252,1,0.0376,0.521,0.00053,0.157,0.235,71.766,audio_features,227778,1
Again,Sasha Alex Sloan,397451,alt z,0.62,0.553,2,-10.228,0,0.0517,0.778,0.00191,0.0916,0.632,148.978,audio_features,194375,4
Again & Again,Fly By Midnight,3216667,singer-songwriter pop,0.728,0.694,1,-5.634,1,0.0645,0.188,0.000876,0.149,0.574,101.985,audio_features,169412,4
Again to Goshintai,RADWIMPS,1496410,j-pop,0.2,0.318,5,-11.267,1,0.0449,0.925,0.894,0.114,0.0465,119.593,audio_features,143253,4
Agar Tum Saath Ho,Alka Yagnik,341076,filmi,0.654,0.408,3,-12.787,1,0.0695,0.743,0.0145,0.278,0.424,95.957,audio_features,261060,4
Agent Vinod (Theme),Pritam,27455,filmi,0.658,0.852,0,-3.07,1,0.044,0.000223,0.863,0.101,0.409,140.024,audio_features,277950,4
Ain't Got Rhythm (Vocal),Phineas,6653798,,,,,,,,,,,,,,0,
Air Bnb,Central Cee,2440,melodic drill,0.897,0.728,0,-5.833,0,0.167,0.594,0,0.0735,0.678,139.895,audio_features,138121,4
"Air, BWV 1068 - From Orchestral Suite No.3 In D Major",André Rieu,26583637,easy listening,0.157,0.378,2,-14.792,1,0.0389,0.674,0.914,0.136,0.144,141.592,audio_features,301320,4
Airplanes (feat. Hayley Williams of Paramore),B.o.B,928683,atl hip hop,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,audio_features,180480,4
Ajab Si,KK,1512907,filmi,0.697,0.438,8,-8.411,1,0.0289,0.397,0,0.293,0.58,117.954,audio_features,241668,4
Ajnabi Hawaayein,Shreya Ghoshal,182582,filmi,0.557,0.58,6,-6.566,0,0.0429,0.589,0.000245,0.124,0.453,80.051,audio_features,281658,4
Akatsuki Theme - From Naruto Shippuden,Gabriele Motta,3666,,0.451,0.496,0,-12.905,0,0.0424,0.0562,0.777,0.325,0.341,159.934,audio_features,131250,4
Akela Hoon,AMAN,728,indian lo-fi,0.508,0.0901,7,-22.456,1,0.0295,0.943,0.000875,0.18,0.11,70.198,audio_features,224601,4
Akhiyaan,Mitraz,18183,desi pop,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,audio_features,191869,4
Alfred - Intro,Eminem,16890,detroit hip hop,0.764,0.376,1,-12.586,1,0.571,0.887,1.92E-06,0.375,0.884,97.546,audio_features,17075,4
Alive,Audrey Mika,393226,modern indie pop,0.591,0.335,9,-8.331,0,0.0339,0.601,0,0.0976,0.293,86.448,audio_features,197224,5
Alive,Empire of the Sun,90400,australian dance,0.524,0.885,5,-3.079,1,0.037,0.0997,0,0.0708,0.395,119.954,audio_features,204591,4
Alive,Khalid,177310,pop,0.386,0.406,11,-10.419,1,0.0425,0.832,0.0597,0.171,0.205,78.616,audio_features,177413,4
Alive,WILLIS,465221,alabama indie,0.615,0.373,6,-11.54,0,0.026,0.125,0.876,0.184,0.481,87.97,audio_features,155136,4
All 4 Nothing (I'm So In Love),Lauv,7718836,pop,0.72,0.819,1,-4.588,1,0.0362,0.0411,0,0.0606,0.898,131.99,audio_features,183014,4
All About That Bass,Meghan Trainor,1397613,hip pop,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87E-06,0.124,0.961,134.052,audio_features,187920,4
